Species_ID,Bishop_DB_Match,TSN,Taxonomic_Order,Taxonomic_Family,Genus,Species,Subdivision,Scientific_name,taxonRank,Authority,Synonym,Authority_Source,Citation,Common_name,Code,Life_form,Life_cycle,Omit_in_NPSpecies,Complete,Update_date,Update_by,Update_comments,TSN_park,Park,Park_common_name,Life_form_park,Nativeness,Distribution,Conservation_status,Update_date_park,Update_by_park,Update_comments_park
20100315154438-592841982.841492,Yes,17393,Polypodiales,Aspleniaceae,Asplenium ,kaulfussii,NA,Asplenium kaulfussii,species,Schltdl. f. kaulfussii en,NA,2012 Bishop Museum Technical Report 60,Palmer 2003,kuau,ASPKAU2,Herb,Perennial,FALSE,FALSE,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated life form in xref table from PLANTS database. Updated life form in xref t,17393,HALE,NA,NA,Native,end,NA,NA,NA,NA
20100315154438-592991232.872009,No,-743954,Myrtales,Combretaceae,Terminalia ,richii,NA,Terminalia richii,species,A. Gray,NA,Whistler 2004,NA,malili,TERRIC,Tree,Perennial,FALSE,TRUE,NA,NA,NA,-743954,NPSA,malili,Tree,Native,ind,NA,NA,NA,NA
20100315154438-593326628.20816,Yes,36965,Asterales,Asteraceae,Centaurea ,melitensis,NA,Centaurea melitensis,species,L.,NA,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,"yellow star thistle, Napa thistle",CENMEL,Herb,Annual,FALSE,FALSE,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated life form in xref table from PLANTS database. Updated life form in xref t,36965,HALE,NA,NA,Non-Native,nat,NA,NA,NA,NA
20100315154438-593326628.20816,Yes,36965,Asterales,Asteraceae,Centaurea ,melitensis,NA,Centaurea melitensis,species,L.,NA,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,"yellow star thistle, Napa thistle",CENMEL,Herb,Annual,FALSE,FALSE,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated life form in xref table from PLANTS database. Updated life form in xref t,36965,HAVO,NA,NA,Non-Native,nat,NA,NA,NA,NA
20100315154438-593636453.151703,Yes,39243,Juncales,Juncaceae,Juncus ,tenuis,NA,Juncus tenuis,species,Willd.,NA,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,"poverty rush, path rush, wiregrass",JUNTEN,Rush,Perennial,FALSE,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,39243,HALE,poverty rush,Rush,Non-Native,nat,NA,NA,NA,NA
20100315154438-593636453.151703,Yes,39243,Juncales,Juncaceae,Juncus ,tenuis,NA,Juncus tenuis,species,Willd.,NA,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,"poverty rush, path rush, wiregrass",JUNTEN,Rush,Perennial,FALSE,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,39243,HAVO,poverty rush,Rush,Non-Native,nat,NA,NA,NA,NA
20100315154438-593636453.151703,Yes,39243,Juncales,Juncaceae,Juncus ,tenuis,NA,Juncus tenuis,species,Willd.,NA,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,"poverty rush, path rush, wiregrass",JUNTEN,Rush,Perennial,FALSE,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,39243,KALA,poverty rush,Rush,Non-Native,nat,NA,NA,NA,NA
20100315154438-594040215.015411,Yes,504106,Cyperales,Poaceae,Panicum ,repens,NA,Panicum repens,species,L.,NA,Wagner et al. 2012,"Starr et al., 2002",quack grass,PANREP1,Grass,Perennial,FALSE,FALSE,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated life form in xref table from PLANTS database. Updated life form in xref t,504106,HAVO,NA,NA,Non-Native,nat,NA,NA,NA,NA
20100315154438-594040215.015411,Yes,504106,Cyperales,Poaceae,Panicum ,repens,NA,Panicum repens,species,L.,NA,Wagner et al. 2012,"Starr et al., 2002",quack grass,PANREP1,Grass,Perennial,FALSE,FALSE,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated life form in xref table from PLANTS database. Updated life form in xref t,504106,WAPA,NA,NA,Non-Native,NA,NA,NA,NA,NA
20100315154438-594495534.896851,Yes,17853,Polypodiales,Blechnaceae,Sadleria ,souleyetiana,NA,Sadleria souleyetiana,species,(Gaudich.) T. Moore,NA,2012 Bishop Museum Technical Report 60,Palmer 2003,‘Ama‘u,SADSOU,Tree Fern,Perennial,FALSE,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,17853,HALE,‘ama‘u,Tree Fern,Native,end,NA,NA,NA,NA
