Species_ID,Bishop_DB_Match,TSN,Taxonomic_Order,Taxonomic_Family,Genus,Species,Subdivision,Scientific_name,taxonRank,Authority,Synonym,Authority_Source,Citation,Common_name,Code,Life_form,Life_cycle,Omit_in_NPSpecies,Complete,Update_date,Update_by,Update_comments,TSN_park,Park,Park_common_name,Life_form_park,Nativeness,Distribution,Conservation_status,Update_date_park,Update_by_park,Update_comments_park
20100315154438-588971257.209778,Yes,40124,Cyperales,Cyperaceae,Fimbristylis ,hawaiiensis,NA,Fimbristylis hawaiiensis,species,Hillebr.,NA,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,Hawai'i fimbry,FIMHAW,Rush,Perennial,FALSE,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,40124,HAVO,Fimbristylis hawaiiensis,Rush,Native,end,R,NA,NA,NA
20100315154438-589163005.35202,Yes,-9999903,Capparales,Brassicaceae,Cardimine ,spp.,NA,Cardimine spp.,genus,NA,NA,NA,NA,NA,CARSP.1,Herb,Annual,FALSE,TRUE,NA,NA,NA,-9999903,HAVO,bittercress,Herb,Non-Native,nat,NA,NA,NA,NA
20100315154438-589163005.35202,Yes,-9999903,Capparales,Brassicaceae,Cardimine ,spp.,NA,Cardimine spp.,genus,NA,NA,NA,NA,NA,CARSP.1,Herb,Annual,FALSE,TRUE,NA,NA,NA,-9999903,KALA,bittercress,Herb,Non-Native,nat,NA,NA,NA,NA
20100315154438-589163005.35202,Yes,-9999903,Capparales,Brassicaceae,Cardimine ,spp.,NA,Cardimine spp.,genus,NA,NA,NA,NA,NA,CARSP.1,Herb,Annual,FALSE,TRUE,NA,NA,NA,-9999903,HALE,bittercress,Herb,Non-Native,nat,NA,NA,NA,NA
20100315154438-589163005.35202,Yes,-9999903,Capparales,Brassicaceae,Cardimine ,spp.,NA,Cardimine spp.,genus,NA,NA,NA,NA,NA,CARSP.1,Herb,Annual,FALSE,TRUE,NA,NA,NA,-9999903,NPSA,NA,Herb,Unknown,NA,NA,NA,NA,NA
20100315154438-589163005.35202,Yes,-9999903,Capparales,Brassicaceae,Cardimine ,spp.,NA,Cardimine spp.,genus,NA,NA,NA,NA,NA,CARSP.1,Herb,Annual,FALSE,TRUE,NA,NA,NA,-9999903,AMME,NA,Herb,Unknown,NA,NA,NA,NA,NA
20100315154438-589163005.35202,Yes,-9999903,Capparales,Brassicaceae,Cardimine ,spp.,NA,Cardimine spp.,genus,NA,NA,NA,NA,NA,CARSP.1,Herb,Annual,FALSE,TRUE,NA,NA,NA,-9999903,WAPA,NA,Herb,Unknown,NA,NA,NA,NA,NA
20100315154438-589555323.123932,Yes,17556,Polypodiales,Dryopteridaceae,Dryopteris ,hawaiiensis,NA,Dryopteris hawaiiensis,species,(Hillebr.) W. J. Rob.,NA,2012 Bishop Museum Technical Report 60,Palmer 2003,Hawai'i woodfern,DRYHAW,Fern,Perennial,FALSE,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,17556,HALE,Dryopteris hawaiiensis,Fern,Native,end,NA,NA,NA,NA
20100315154438-589555323.123932,Yes,17556,Polypodiales,Dryopteridaceae,Dryopteris ,hawaiiensis,NA,Dryopteris hawaiiensis,species,(Hillebr.) W. J. Rob.,NA,2012 Bishop Museum Technical Report 60,Palmer 2003,Hawai'i woodfern,DRYHAW,Fern,Perennial,FALSE,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,17556,HAVO,Dryopteris hawaiiensis,Fern,Native,end,NA,NA,NA,NA
20100315154438-589555323.123932,Yes,17556,Polypodiales,Dryopteridaceae,Dryopteris ,hawaiiensis,NA,Dryopteris hawaiiensis,species,(Hillebr.) W. J. Rob.,NA,2012 Bishop Museum Technical Report 60,Palmer 2003,Hawai'i woodfern,DRYHAW,Fern,Perennial,FALSE,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,17556,KALA,NA,Fern,Native,end,NA,NA,NA,NA
20100315154438-589792549.610138,No,-9791662,Polypodiales,Thelypteridaceae,Pneumatopteris ,costata,NA,Pneumatopteris costata,species,NA,NA,NA,NA,NA,PNECOS,Herb,NA,FALSE,FALSE,NA,NA,NA,-9791662,NPSA,NA,NA,Native,NA,NA,NA,NA,NA
20100315154438-58991491.7945862,No,-504524,Alismatales,Araceae,Rhaphidophora ,graeffei,NA,Rhaphidophora graeffei,species,NA,NA,NA,NA,fue laufao,RHAGRA,Vine,Perennial,FALSE,FALSE,NA,NA,NA,-504524,NPSA,NA,NA,Native,NA,NA,NA,NA,NA
20100315154438-589929640.293121,No,822465,Theales,Hypericaceae,Hypericum ,mutilum,ssp. mutilum,Hypericum mutilum ssp. mutilum,subspecies,L.,Hypericum mutilum L.,Wagner et al. 2012,"Robson, 1990; Lorence et al., 1995; Wagner & Herbst, 1995",dwarf St. John's wort,HYPMUT,Herb,Perennial,FALSE,TRUE,2013-12-12T15:44:13Z,Kelly Kozar,"Updated TSNs from ITIS database data, mostly from temporary TSNs to permanent TSNs. Updated authority source, citation, and synonym.  Updated distribution in xref table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",822465,HAVO,dwarf St. John's wort,Herb,Non-Native,nat,NA,NA,NA,NA
20100315154438-589929640.293121,No,822465,Theales,Hypericaceae,Hypericum ,mutilum,ssp. mutilum,Hypericum mutilum ssp. mutilum,subspecies,L.,Hypericum mutilum L.,Wagner et al. 2012,"Robson, 1990; Lorence et al., 1995; Wagner & Herbst, 1995",dwarf St. John's wort,HYPMUT,Herb,Perennial,FALSE,TRUE,2013-12-12T15:44:13Z,Kelly Kozar,"Updated TSNs from ITIS database data, mostly from temporary TSNs to permanent TSNs. Updated authority source, citation, and synonym.  Updated distribution in xref table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",822465,KALA,dwarf St. John's wort,Herb,Non-Native,nat,NA,NA,NA,NA
20100315154438-59037029.7431946,Yes,22413,Violales,Cucurbitaceae,Sicyos ,macrophyllus,NA,Sicyos macrophyllus,species,A.Gray,Sicyocarya kipahuluensis H.St.John,2012 Bishop Museum Technical Report 60,St. John 1987; Wagner et al. 1990; Wagner & Shannon 1999,‘Anunu,SICMAC,Vine,Perennial,FALSE,FALSE,2013-12-13T12:17:25Z,Kelly Kozar,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated life form in xref table from PLANTS database.",22413,HAVO,‘ānunu,NA,Native,end,NA,NA,NA,NA
20100315154438-591016471.385956,No,524809,Fabales,Fabaceae,Vicia ,sativa,ssp. nigra,Vicia sativa ssp. nigra,subspecies,L.; (L.) Ehrh. ,NA,Wagner et al. 2012,"Wood, 2007","common vetch, spring vetch",VICSAT1,Herb,Annual,FALSE,TRUE,2013-12-12T15:30:01Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,524809,HAVO,common vetch,Herb,Non-Native,nat,,NA,NA,NA
20100315154438-591016471.385956,No,524809,Fabales,Fabaceae,Vicia ,sativa,ssp. nigra,Vicia sativa ssp. nigra,subspecies,L.; (L.) Ehrh. ,NA,Wagner et al. 2012,"Wood, 2007","common vetch, spring vetch",VICSAT1,Herb,Annual,FALSE,TRUE,2013-12-12T15:30:01Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,524809,HALE,common vetch,Herb,Non-Native,nat,,NA,NA,NA
20100315154438-591075420.379639,Yes,783095,Cyperales,Poaceae,Digitaria ,insularis,NA,Digitaria insularis,species,(L.) Mex ex Ekman,NA,Wagner et al. 2012,"Wood & LeGrande, 2006",sourgrass,DIGINS,Grass,Perennial,FALSE,TRUE,2013-12-12T15:47:45Z,Kelly Kozar,"Updated TSNs from ITIS database data, mostly from temporary TSNs to permanent TSNs. Updated authority source and citation.  Updated distribution in xref table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",783095,AMME,NA,Grass,Non-Native,NA,NA,NA,NA,NA
20100315154438-591075420.379639,Yes,783095,Cyperales,Poaceae,Digitaria ,insularis,NA,Digitaria insularis,species,(L.) Mex ex Ekman,NA,Wagner et al. 2012,"Wood & LeGrande, 2006",sourgrass,DIGINS,Grass,Perennial,FALSE,TRUE,2013-12-12T15:47:45Z,Kelly Kozar,"Updated TSNs from ITIS database data, mostly from temporary TSNs to permanent TSNs. Updated authority source and citation.  Updated distribution in xref table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",783095,HALE,sourgrass,Grass,Non-Native,nat,,NA,NA,NA
20100315154438-591075420.379639,Yes,783095,Cyperales,Poaceae,Digitaria ,insularis,NA,Digitaria insularis,species,(L.) Mex ex Ekman,NA,Wagner et al. 2012,"Wood & LeGrande, 2006",sourgrass,DIGINS,Grass,Perennial,FALSE,TRUE,2013-12-12T15:47:45Z,Kelly Kozar,"Updated TSNs from ITIS database data, mostly from temporary TSNs to permanent TSNs. Updated authority source and citation.  Updated distribution in xref table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",783095,HAVO,sourgrass,Grass,Non-Native,nat,,NA,NA,NA
20100315154438-591075420.379639,Yes,783095,Cyperales,Poaceae,Digitaria ,insularis,NA,Digitaria insularis,species,(L.) Mex ex Ekman,NA,Wagner et al. 2012,"Wood & LeGrande, 2006",sourgrass,DIGINS,Grass,Perennial,FALSE,TRUE,2013-12-12T15:47:45Z,Kelly Kozar,"Updated TSNs from ITIS database data, mostly from temporary TSNs to permanent TSNs. Updated authority source and citation.  Updated distribution in xref table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",783095,KALA,sourgrass,Grass,Non-Native,nat,,NA,NA,NA
