taxon.name,parkName,n
Polygala,HAVO,1
Pontederia crassipes,HAVO,2
Porophyllum ruderale,KAHO,6
Prunus cerasifera,HALE,1
Psychotria mariniana,HAVO,3
Pteris cretica cretica,HAVO,1
Pteris parkeri,HAVO,1
Pteris vittata,KAHO,14
Pteris vittata,KALA,1
Pterolepis glomerata,HALE,1
Rhododendron indicum,HAVO,3
Rhododendron simsii,HAVO,1
Rhododendron viscosum,HAVO,1
Richardia scabra,HAVO,2
Rubus armeniacus,HAVO,1
Rubus bifrons,HAVO,1
Rubus pensilvanicus,HAVO,3
Ruellia prostrata,KALA,1
Russelia equisetiformis,HAVO,1
Rytidosperma racemosum,HALE,1
Rytidosperma racemosum racemosum,HALE,1
Rytidosperma racemosum racemosum,HAVO,1
Rytidosperma semiannulare,HALE,2
Salvia rosmarinus,KALA,1
Santalum ellipticum,HAVO,2
Sapindus thurstonii,HAVO,2
Scaevola gaudichaudiana,HAVO,1
Scaevola taccada sericea,HAVO,1
Scaevola taccada sericea,KAHO,2
Scaevola taccada taccada,KAHO,1
Selenicereus undatus,HALE,1
Senna didymobotrya,KALA,1
Sida cordifolia,KAHO,1
Sida spinosa,HAVO,1
Sophora tomentosa,HALE,1
Spermacoce prostrata,HAVO,37
Sporobolus africanus,KAHO,1
Sporobolus elongatus,HAVO,2
Sporobolus fertilis,HALE,7
Sporobolus indicus,HAVO,1
Stachytarpheta cayennensis,KAHO,1
Stapelia gigantea,HAVO,3
Strelitzia reginae,HALE,1
Strelitzia reginae,KALA,1
Stylosanthes,KAHO,1
Stylosanthes guianensis,HAVO,1
Tectaria incisa,HALE,5
Terminalia catappa,HAVO,1
Terminalia catappa,KAHO,1
Thuja plicata,HALE,1
Tillandsia usneoides,HAVO,5
Tithonia diversifolia,HAVO,1
Turnera ulmifolia,HAVO,1
Urochloa distachyos,KAHO,1
Vanda,HAVO,1
Vitex rotundifolia,KAHO,1
Wahlenbergia marginata,HAVO,2
Washingtonia,KAHO,1
Washingtonia robusta,KAHO,2
Wikstroemia oahuensis,HAVO,2
Wikstroemia uva-ursi,HAVO,6
Zephyranthes carinata,HAVO,1
Zingiber officinale,HAVO,2
Zingiber spectabile,HAVO,1
Zoysia,KAHO,1
